cycle,total_nodes,sacrificed,nodes_created,signal_killed,noise_killed,mean_vitality,variance_vitality,mean_energy,tgc,elite_drift,newborn_survival
72,5711,38,38,0,3720,0.874327,0.069116,0.243033,0.005515,0.002589,1.0000
73,5721,29,29,0,3749,0.877868,0.067561,0.240909,0.005196,0.001994,1.0000
74,5731,40,40,0,3789,0.880314,0.066479,0.238113,0.005480,0.002033,1.0000
75,5741,24,24,0,3813,0.884105,0.064745,0.236508,0.004945,0.001590,1.0000
76,5751,39,39,0,3852,0.885947,0.063905,0.233574,0.005264,0.002352,1.0000
77,5761,43,43,0,3895,0.889559,0.062239,0.232136,0.005677,0.002479,1.0000
78,5771,29,29,0,3924,0.893641,0.060315,0.231058,0.005321,0.002867,1.0000
79,5781,29,29,0,3953,0.896046,0.059173,0.228780,0.005073,0.002791,1.0000
80,5791,29,29,0,3982,0.898457,0.058007,0.226571,0.004901,0.003097,1.0000
81,5801,27,27,0,4009,0.900834,0.056863,0.224447,0.004688,0.002979,1.0000
82,5811,37,37,0,4046,0.903000,0.055790,0.222130,0.005007,0.003284,1.0000
83,5821,28,28,0,4074,0.906330,0.054126,0.220816,0.004813,0.003534,1.0000
84,5831,25,25,0,4099,0.908574,0.053008,0.218678,0.004537,0.003124,1.0000
85,5841,31,31,0,4130,0.910468,0.052047,0.216303,0.004626,0.003530,1.0000
86,5851,21,21,0,4151,0.913085,0.050692,0.214561,0.004221,0.003171,1.0000
87,5861,28,28,0,4179,0.914505,0.049956,0.211923,0.004266,0.003448,1.0000
88,5871,15,15,0,4194,0.916766,0.048760,0.209996,0.003689,0.003372,1.0000
89,5881,23,23,0,4217,0.917418,0.048455,0.206915,0.003658,0.003132,1.0000
90,5891,20,20,0,4237,0.919062,0.047584,0.204534,0.003497,0.003068,1.0000
91,5901,23,23,0,4260,0.920329,0.046924,0.201970,0.003524,0.003160,1.0000
92,5911,30,30,0,4290,0.921970,0.046041,0.199745,0.003871,0.002690,1.0000
93,5921,22,22,0,4312,0.924401,0.044738,0.198147,0.003740,0.002484,1.0000
94,5931,21,21,0,4333,0.925889,0.043941,0.195905,0.003601,0.001954,1.0000
95,5941,22,22,0,4355,0.927257,0.043204,0.193578,0.003551,0.001900,1.0000
96,5951,31,31,0,4386,0.928738,0.042401,0.191395,0.003937,0.002064,1.0000
97,5961,36,36,0,4422,0.931270,0.041000,0.189971,0.004443,0.001869,1.0000
98,5971,16,16,0,4438,0.934399,0.039233,0.188980,0.003861,0.001998,1.0000
99,5981,15,15,0,4453,0.935153,0.038829,0.186453,0.003407,0.002217,1.0000
100,5991,19,19,0,4472,0.935804,0.038475,0.183818,0.003275,0.002598,1.0000
101,6001,21,21,0,4493,0.936910,0.037860,0.181560,0.003276,0.002480,1.0000
102,6011,20,20,0,4513,0.938270,0.037083,0.179505,0.003230,0.002431,1.0000
103,6021,27,27,0,4540,0.939490,0.036393,0.177447,0.003525,0.002993,1.0000
104,6031,18,18,0,4558,0.941525,0.035221,0.176011,0.003310,0.002772,1.0000
105,6041,14,14,0,4572,0.942521,0.034644,0.173867,0.002973,0.002192,1.0000
106,6051,17,17,0,4589,0.943053,0.034340,0.171418,0.002876,0.002427,1.0000
107,6061,18,18,0,4607,0.943933,0.033830,0.169259,0.002854,0.002436,1.0000
108,6071,20,20,0,4627,0.944936,0.033236,0.167284,0.002932,0.002197,1.0000
109,6081,22,22,0,4649,0.946140,0.032538,0.165454,0.003079,0.002017,1.0000
110,6091,14,14,0,4663,0.947617,0.031643,0.163820,0.002809,0.002086,1.0000
111,6101,16,16,0,4679,0.948130,0.031348,0.161604,0.002712,0.002406,1.0000
112,6111,13,13,0,4692,0.948899,0.030881,0.159620,0.002504,0.002277,1.0000
113,6121,9,9,0,4701,0.949336,0.030603,0.157489,0.002172,0.002245,1.0000
114,6131,13,13,0,4714,0.949281,0.030643,0.155049,0.002124,0.002476,1.0000
115,6141,15,15,0,4729,0.949660,0.030436,0.153029,0.002183,0.002759,1.0000
116,6151,10,10,0,4739,0.950313,0.030033,0.151131,0.001991,0.002734,1.0000
117,6161,17,17,0,4756,0.950359,0.030020,0.148906,0.002181,0.003187,1.0000
118,6171,19,19,0,4775,0.951179,0.029551,0.147315,0.002405,0.003218,1.0000
119,6181,14,14,0,4789,0.952257,0.028902,0.145876,0.002331,0.003124,1.0000
120,6191,18,18,0,4807,0.952797,0.028562,0.144159,0.002462,0.002946,1.0000
121,6201,22,22,0,4829,0.953739,0.028005,0.142780,0.002739,0.002280,1.0000
122,6211,17,17,0,4846,0.955147,0.027149,0.141748,0.002701,0.002210,1.0000
123,6221,10,10,0,4856,0.955983,0.026644,0.140321,0.002352,0.002738,1.0000
124,6231,14,14,0,4870,0.956047,0.026602,0.138471,0.002291,0.002802,1.0000
125,6241,17,17,0,4887,0.956573,0.026267,0.136972,0.002385,0.002621,1.0000
126,6251,12,12,0,4899,0.957411,0.025754,0.135791,0.002221,0.002659,1.0000
127,6261,15,15,0,4914,0.957688,0.025587,0.134193,0.002243,0.002879,1.0000
128,6271,11,11,0,4925,0.958299,0.025211,0.132872,0.002074,0.003184,1.0000
129,6281,14,14,0,4939,0.958472,0.025101,0.131313,0.002093,0.002840,1.0000
130,6291,10,10,0,4949,0.958983,0.024778,0.130064,0.001922,0.003151,1.0000
131,6301,9,9,0,4958,0.959021,0.024767,0.128480,0.001757,0.002751,1.0000
132,6311,14,14,0,4972,0.958947,0.024827,0.126861,0.001868,0.002827,1.0000
133,6321,9,9,0,4981,0.959439,0.024525,0.125698,0.001717,0.002710,1.0000
134,6331,11,11,0,4992,0.959389,0.024552,0.124214,0.001702,0.002630,1.0000
135,6341,13,13,0,5005,0.959526,0.024484,0.122933,0.001782,0.002833,1.0000
136,6351,11,11,0,5016,0.959926,0.024226,0.121740,0.001746,0.002962,1.0000
137,6361,11,11,0,5027,0.960104,0.024106,0.120484,0.001720,0.002891,1.0000
138,6371,17,17,0,5044,0.960258,0.024021,0.119272,0.001973,0.002733,1.0000
139,6381,13,13,0,5057,0.961083,0.023506,0.118543,0.001968,0.002462,1.0000
140,6391,11,11,0,5068,0.961477,0.023251,0.117557,0.001874,0.002423,1.0000
141,6401,7,7,0,5075,0.961652,0.023132,0.116473,0.001628,0.002474,1.0000
142,6411,11,11,0,5086,0.961377,0.023305,0.115098,0.001634,0.002413,1.0000
143,6421,7,7,0,5093,0.961555,0.023186,0.114056,0.001458,0.002638,1.0000
144,6431,14,14,0,5107,0.961277,0.023361,0.112737,0.001649,0.002996,1.0000
145,6441,19,19,0,5126,0.961771,0.023048,0.111965,0.002005,0.003386,1.0000
146,6451,11,11,0,5137,0.962792,0.022410,0.111631,0.001896,0.003091,1.0000
147,6461,9,9,0,5146,0.962956,0.022305,0.110690,0.001730,0.003201,1.0000
148,6471,10,10,0,5156,0.962888,0.022355,0.109588,0.001657,0.003342,1.0000
149,6481,15,15,0,5171,0.962927,0.022338,0.108616,0.001829,0.003181,1.0000
150,6491,13,13,0,5184,0.963487,0.022005,0.108031,0.001859,0.002802,1.0000
151,6501,11,11,0,5195,0.963871,0.021754,0.107326,0.001791,0.003066,1.0000
152,6511,8,8,0,5203,0.964034,0.021647,0.106536,0.001609,0.002983,1.0000
153,6521,7,7,0,5210,0.963865,0.021755,0.105570,0.001437,0.002875,1.0000
154,6531,11,11,0,5221,0.963595,0.021923,0.104497,0.001492,0.002647,1.0000
155,6541,10,10,0,5231,0.963751,0.021827,0.103745,0.001487,0.002349,1.0000
