cycle,total_nodes,sacrificed,nodes_created,signal_killed,noise_killed,mean_vitality,variance_vitality,mean_energy,tgc,elite_drift,newborn_survival
133,6321,9,9,0,4981,0.959561,0.024534,0.125611,0.001718,0.001346,1.0000
134,6331,11,11,0,4992,0.959511,0.024561,0.124123,0.001702,0.001378,1.0000
135,6341,13,13,0,5005,0.959649,0.024493,0.122817,0.001782,0.001541,1.0000
136,6351,11,11,0,5016,0.960049,0.024235,0.121620,0.001746,0.001708,1.0000
137,6361,11,11,0,5027,0.960228,0.024115,0.120363,0.001720,0.001815,1.0000
138,6371,17,17,0,5044,0.960381,0.024030,0.119154,0.001973,0.001747,1.0000
139,6381,13,13,0,5057,0.961204,0.023515,0.118421,0.001969,0.001844,1.0000
140,6391,11,11,0,5068,0.961599,0.023260,0.117430,0.001875,0.001615,1.0000
141,6401,7,7,0,5075,0.961775,0.023141,0.116331,0.001628,0.001677,1.0000
142,6411,11,11,0,5086,0.961498,0.023314,0.114934,0.001634,0.001910,1.0000
143,6421,7,7,0,5093,0.961676,0.023195,0.113895,0.001459,0.002000,1.0000
144,6431,14,14,0,5107,0.961399,0.023369,0.112571,0.001649,0.002082,1.0000
145,6441,19,19,0,5126,0.961894,0.023057,0.111811,0.002005,0.002036,1.0000
146,6451,11,11,0,5137,0.962916,0.022418,0.111490,0.001896,0.001841,1.0000
147,6461,9,9,0,5146,0.963081,0.022314,0.110575,0.001730,0.001971,1.0000
148,6471,10,10,0,5156,0.963013,0.022363,0.109486,0.001657,0.002201,1.0000
149,6481,15,15,0,5171,0.963051,0.022346,0.108527,0.001829,0.002474,1.0000
150,6491,13,13,0,5184,0.963612,0.022013,0.107957,0.001859,0.002865,1.0000
151,6501,11,11,0,5195,0.963997,0.021762,0.107273,0.001791,0.002907,1.0000
152,6511,8,8,0,5203,0.964160,0.021655,0.106494,0.001609,0.003167,1.0000
153,6521,7,7,0,5210,0.963990,0.021763,0.105528,0.001437,0.003269,1.0000
154,6531,11,11,0,5221,0.963721,0.021932,0.104476,0.001493,0.003137,1.0000
155,6541,10,10,0,5231,0.963876,0.021835,0.103718,0.001487,0.002877,1.0000
156,6551,6,6,0,5237,0.963959,0.021762,0.102927,0.001306,0.002695,1.0000
157,6561,11,11,0,5248,0.963581,0.022003,0.101889,0.001399,0.002538,1.0000
158,6571,8,8,0,5256,0.963739,0.021902,0.101198,0.001331,0.002644,1.0000
159,6581,11,11,0,5267,0.963570,0.022013,0.100355,0.001415,0.002490,1.0000
160,6591,12,12,0,5279,0.963756,0.021880,0.099691,0.001517,0.002704,1.0000
161,6601,9,9,0,5288,0.964001,0.021735,0.099155,0.001456,0.002488,1.0000
