cycle,total_nodes,total_edges,sacrificed,nodes_created,signal_killed,noise_killed,mean_vitality,variance_vitality,mean_energy,structural_entropy,global_efficiency,tgc_raw,tgc_ema,elite_drift,newborn_survival,ms_per_cycle
48,10480,80017,7,7,0,221,0.977570,0.012450,0.063106,2.794834,0.307863,0.000655,0.000722,0.173387,1.0000,221.46
49,10490,80017,4,4,0,225,0.977215,0.012597,0.062952,2.795099,0.304530,0.000369,0.000652,0.173384,1.0000,227.92
50,10500,80017,4,4,0,229,0.976719,0.012876,0.062743,2.795346,0.310711,0.000379,0.000597,0.173502,1.0000,214.25
51,10510,80017,4,4,0,233,0.976223,0.013149,0.062536,2.795573,0.314266,0.000376,0.000553,0.173563,1.0000,217.60
52,10520,80017,15,15,0,248,0.975725,0.013429,0.062316,2.795784,0.312017,0.001382,0.000719,0.173667,1.0000,347.87
53,10530,80017,6,6,0,254,0.975720,0.013276,0.062331,2.795976,0.308073,0.000550,0.000685,0.173738,1.0000,243.74
54,10540,80017,5,5,0,259,0.975314,0.013469,0.062152,2.796151,0.312618,0.000469,0.000642,0.173844,1.0000,225.48
55,10550,80017,6,6,0,265,0.974859,0.013710,0.061923,2.796309,0.317677,0.000563,0.000626,0.173853,1.0000,243.19
56,10560,80017,6,6,0,271,0.974461,0.013900,0.061754,2.796449,0.309519,0.000540,0.000609,0.173927,1.0000,195.20
57,10570,80017,7,7,0,278,0.974072,0.014084,0.061578,2.796575,0.307571,0.000641,0.000615,0.173969,1.0000,210.79
58,10580,80017,6,6,0,284,0.973713,0.014232,0.061435,2.796683,0.311639,0.000559,0.000604,0.173835,1.0000,221.18
59,10590,80017,9,9,0,293,0.973321,0.014419,0.061298,2.796777,0.315807,0.000838,0.000651,0.174003,1.0000,374.54
60,10600,80017,2,2,0,295,0.973059,0.014499,0.061193,2.796855,0.312142,0.000182,0.000557,0.174009,1.0000,237.85
61,10610,80017,14,14,0,309,0.972452,0.014875,0.060906,2.796919,0.319612,0.001312,0.000708,0.174078,1.0000,224.54
62,10620,80017,13,13,0,322,0.972397,0.014761,0.060868,2.796967,0.316799,0.001180,0.000802,0.174235,1.0000,249.08
63,10630,80017,7,7,0,329,0.972293,0.014700,0.060843,2.797001,0.310587,0.000628,0.000768,0.174377,1.0000,240.26
64,10640,80017,7,7,0,336,0.971937,0.014850,0.060665,2.797020,0.308438,0.000635,0.000741,0.174391,1.0000,222.61
65,10650,80017,10,10,0,346,0.971592,0.014992,0.060526,2.797027,0.306192,0.000906,0.000774,0.174524,1.0000,221.84
66,10660,80017,12,12,0,358,0.971352,0.015049,0.060449,2.797020,0.309482,0.001104,0.000840,0.174463,1.0000,365.65
67,10670,80017,9,9,0,367,0.971202,0.015021,0.060328,2.796999,0.310437,0.000822,0.000836,0.174597,1.0000,227.13
68,10680,80017,8,8,0,375,0.970917,0.015112,0.060180,2.796966,0.309641,0.000725,0.000814,0.174514,1.0000,228.21
69,10690,80017,10,10,0,385,0.970605,0.015215,0.060002,2.796919,0.309247,0.000907,0.000833,0.174611,1.0000,239.52
70,10700,80017,5,5,0,390,0.970362,0.015268,0.059888,2.796859,0.307983,0.000452,0.000757,0.174733,1.0000,229.57
71,10710,80017,6,6,0,396,0.969923,0.015489,0.059653,2.796788,0.309720,0.000546,0.000714,0.174856,1.0000,221.02
72,10720,80017,12,12,0,408,0.969523,0.015669,0.059455,2.796705,0.309239,0.001084,0.000788,0.174952,1.0000,223.94
73,10730,80017,7,7,0,415,0.969385,0.015630,0.059357,2.796609,0.309864,0.000633,0.000757,0.174934,1.0000,428.87
74,10740,80017,9,9,0,424,0.969012,0.015797,0.059157,2.796501,0.306410,0.000803,0.000767,0.174962,1.0000,225.71
75,10750,80017,7,7,0,431,0.968725,0.015892,0.059040,2.796383,0.307066,0.000632,0.000740,0.175111,1.0000,249.23
76,10760,80017,10,10,0,441,0.968347,0.016060,0.058852,2.796253,0.302087,0.000886,0.000769,0.175160,1.0000,236.48
77,10770,80017,10,10,0,451,0.968110,0.016110,0.058732,2.796112,0.315544,0.000935,0.000802,0.175283,1.0000,228.11
78,10780,80017,14,14,0,465,0.967873,0.016156,0.058646,2.795960,0.312060,0.001243,0.000890,0.175454,1.0000,414.70
79,10790,80017,9,9,0,474,0.967819,0.016048,0.058565,2.795797,0.306872,0.000794,0.000871,0.175506,1.0000,672.60
80,10800,80017,4,4,0,478,0.967534,0.016136,0.058404,2.795623,0.311364,0.000363,0.000770,0.175511,1.0000,248.50
81,10810,80017,14,14,0,492,0.967035,0.016408,0.058160,2.795439,0.317039,0.001273,0.000870,0.175581,1.0000,195.68
82,10820,80017,11,11,0,503,0.966964,0.016316,0.058110,2.795245,0.306310,0.000951,0.000886,0.175577,1.0000,374.81
83,10830,80017,13,13,0,516,0.966778,0.016317,0.057972,2.795041,0.309326,0.001171,0.000943,0.175693,1.0000,257.02
84,10840,80017,9,9,0,525,0.966667,0.016255,0.057930,2.794828,0.311630,0.000808,0.000916,0.175817,1.0000,336.41
85,10850,80017,10,10,0,535,0.966361,0.016355,0.057724,2.794604,0.304984,0.000873,0.000907,0.175901,1.0000,458.27
86,10860,80017,8,8,0,543,0.966142,0.016387,0.057549,2.794370,0.305981,0.000714,0.000869,0.175855,1.0000,265.59
87,10870,80017,9,9,0,552,0.965807,0.016520,0.057355,2.794127,0.306540,0.000801,0.000855,0.176034,1.0000,252.51
88,10880,80017,8,8,0,560,0.965535,0.016595,0.057196,2.793876,0.309787,0.000717,0.000827,0.175997,1.0000,179.00
89,10890,80017,2,2,0,562,0.965216,0.016700,0.057008,2.793615,0.307939,0.000176,0.000697,0.176062,1.0000,337.25
90,10900,80017,7,7,0,569,0.964622,0.017050,0.056681,2.793344,0.306825,0.000617,0.000681,0.176166,1.0000,533.04
91,10910,80017,8,8,0,577,0.964257,0.017194,0.056440,2.793066,0.308685,0.000711,0.000687,0.176127,1.0000,252.59
92,10920,80017,12,12,0,589,0.963923,0.017322,0.056243,2.792778,0.310648,0.001065,0.000763,0.176139,1.0000,242.00
93,10930,80017,4,4,0,593,0.963776,0.017286,0.056153,2.792481,0.310782,0.000353,0.000681,0.176126,1.0000,273.90
94,10940,80017,9,9,0,602,0.963280,0.017548,0.055890,2.792177,0.305465,0.000779,0.000700,0.176083,1.0000,251.12
95,10950,80017,8,8,0,610,0.962993,0.017641,0.055737,2.791864,0.310811,0.000714,0.000703,0.176252,1.0000,216.21
96,10960,80017,4,4,0,614,0.962661,0.017768,0.055583,2.791543,0.313127,0.000354,0.000633,0.176373,1.0000,526.54
97,10970,80017,14,14,0,628,0.962164,0.018032,0.055298,2.791214,0.311061,0.001220,0.000750,0.176417,1.0000,209.41
98,10980,80017,6,6,0,634,0.962101,0.017926,0.055201,2.790876,0.312806,0.000528,0.000706,0.176363,1.0000,291.02
99,10990,80017,4,4,0,638,0.961682,0.018124,0.054975,2.790531,0.310194,0.000347,0.000634,0.176435,1.0000,318.99
100,11000,80017,7,7,0,645,0.961183,0.018394,0.054714,2.790178,0.310743,0.000612,0.000630,0.176527,1.0000,557.34
